groupId,fileId,username,rank,subm_ts
0,428,daxrajsinh16,429,1716652485.0
0,444,its_akshayyyy,445,1716652755.0
0,375,jainamit130,377,1716652503.0
0,384,soustabhaldar10,385,1716652562.0
0,265,qwertyish,267,1716651987.0
0,482,rohandas34,483,1716652519.0
0,376,de_sync,375,1716652772.0
1,130,sigma-yyf,131,1716650245.0
1,485,CppISWorstLang,486,1716649750.0
2,0,cjycleaner,2,1716648231.0
2,37,ch365,36,1716649547.0
3,365,RX_coder,367,1716652435.0
3,461,LEARNER__0001,461,1716652336.0
4,218,Rohit_Meena,220,1716651211.0
4,276,dhakad_239,276,1716651779.0
5,397,luo-xie-bu-sui-feng-be,398,1716652674.0
5,475,ri-mu-_pjy,477,1716652508.0
6,245,ilpyq_wasd003,247,1716651701.0
6,290,fweoifhe,292,1716651566.0
7,356,reincarnation4,356,1716652634.0
7,481,lVLGuRyKq6,481,1716652532.0
8,394,ajit_kumar-12345,394,1716651073.0
8,484,boolbool,485,1716652346.0
9,342,mojiawei69,344,1716652579.0
9,395,niu-niu-ch,396,1716652652.0
10,360,VRevanthReddy,360,1716652679.0
10,390,Arghya71,390,1716652607.0
11,27,anujdhillxn,29,1716649476.0
11,76,SirTechnical,76,1716649923.0
12,364,Kitetsu,365,1716652719.0
12,369,decoder2025,371,1716652458.0
13,405,chris_leetcode123,407,1716652735.0
13,448,user3491Nu,451,1716652589.0
