fileId,username,rank,submit_ts,subm_id
2,sysulby,1,1716648381,534761169
0,cjycleaner,2,1716648231,534760226
3,endlesscheng,3,1716648561,534762215
1,pandaforever,4,1716648623,534762530
5,yf_1994,5,1716648368,534761090
6,htedsv-i,6,1716648721,534763012
4,paigulong,7,1716648734,534763081
8,qingczha,8,1716648764,534763228
7,wery0,9,1716648927,1267572399
9,wjli,10,1716648372,1267553603
11,CE_RE_WAyitiaolong,11,1716648980,534764351
10,hhuuuu,12,1716649013,534764514
15,some_idiot,13,1716648172,534759849
13,ruiaikete,14,1716648999,534764448
12,rgb234rgb,15,1716648741,534763111
14,ianwong1999,16,1716648805,1267568502
18,vibrant-mayerhct,17,1716648845,534763641
16,sumon_1212,18,1716649174,1267580001
20,vermachakshu,19,1716649197,1267580724
19,42fortitude,20,1716648934,1267572623
17,DrunkTemplar,21,1716648968,1267573705
21,jolly-joliotvvj,22,1716648999,534764451
25,jeffreyhu8,23,1716649302,1267583911
24,xymabinogi,24,1716649040,1267575987
30,etian6795,25,1716649342,1267585104
22,liuliangcan,26,1716649385,534766290
28,hhhyh,27,1716649116,534765016
23,Gardenia,28,1716649170,534765286
27,anujdhillxn,29,1716649476,1267589038
26,zsq007,30,1716649487,1267589347
29,rui-de,31,1716649490,1267589435
31,KR_HayoungSong,32,1716649195,1267580662
32,liouzhou_101,33,1716649524,534766939
34,yang-zz,34,1716649527,534766950
33,danzhi,35,1716649538,1267590823
37,ch365,36,1716649547,534767046
36,cchao,37,1716649270,1267582935
35,mafulong,38,1716649577,534767166
38,l_returns,39,1716649283,1267583344
39,cuiaoxiang,40,1716649291,534765864
43,g129512,41,1716649125,1267578525
42,dadboss,42,1716649602,1267592629
40,shawnxi,43,1716649304,534765926
44,aminjonshermatov,44,1716648790,1267567998
41,therealchainman,45,1716649629,1267593367
46,jwseph,46,1716649336,1267584903
48,A_Le_K,47,1716649354,1267585457
45,tiger2005,48,1716649359,534766191
49,shangzhq-xiaohao,49,1716648769,534763258
47,subrat0018,50,1716649672,1267594593
51,hkmaxi,51,1716649383,1267586327
52,donbasta,52,1716649687,1267595026
54,EmZie,53,1716649694,1267595212
50,FreeYourMind,54,1716649394,534766330
56,user9218i,55,1716649700,1267595384
53,JiaLiLue,56,1716649706,534767713
55,RedHeadphone,57,1716649727,1267596157
58,regain0001,58,1716648922,534764072
57,divine21,59,1716649736,534767832
59,mikeqiyh,60,1716649145,1267579123
62,yuanwang2011,61,1716649454,1267588344
61,mayj-u,62,1716649470,534766702
60,psychological,63,1716649794,1267597929
63,dennis753951,64,1716649801,1267598092
64,gooday-3,65,1716649811,534768152
66,lifehappy01,66,1716649237,534765606
67,981377660LMT,67,1716649254,534765689
69,Ujimatsu_Chiya,68,1716649563,534767112
65,killer-whale,69,1716649874,1267600069
70,Fkaiser7,70,1716649580,1267592019
71,fpeterfalvi,71,1716648878,1267570827
68,young_sean,72,1716648682,534762834
73,warks,73,1716649603,1267592665
72,MountAim,74,1716649912,1267601169
74,shnirelman,75,1716649021,1267575421
76,SirTechnical,76,1716649923,1267601511
75,farmerboy,77,1716650012,1267603950
77,zwling,78,1716650031,534769206
78,thorfinn_,79,1716649755,1267596936
79,awice,80,1716650062,1267605280
81,sobols,81,1716650069,1267605466
80,tom1312004,82,1716649484,1267589263
82,singh_deopa,83,1716650102,1267606428
84,Wibo,84,1716649510,1267590017
83,one_percent_better,85,1716649835,1267598999
86,suspicious-fermateio,86,1716650145,534769741
88,Oleks_V,87,1716650146,1267607621
85,loxa_,88,1716650151,1267607788
87,urimaj,89,1716649558,1267591417
89,mananghetia,90,1716650204,1267609252
90,ajinkya1p3,91,1716649610,1267592883
93,ipsitaa7,92,1716650213,1267609510
96,ethanrao,93,1716648544,1267559644
91,RoadToIndiaNumber1,94,1716649936,1267601888
92,shakugan_no_shana,95,1716649945,534768790
95,Sarthak3204,96,1716649954,1267602365
94,alan8585,97,1716649656,1267594104
97,tepamid,98,1716649361,1267585664
100,nitinsrichakri,99,1716650269,1267610969
101,rezero123,100,1716649983,534768968
98,wenboz,101,1716650294,1267611670
99,anshulagarwal3131,102,1716650295,1267611702
105,tinnamchoi,103,1716649111,1267578083
102,kaq,104,1716650326,1267612519
104,nocturne_,105,1716650027,534769181
103,MeetBrahmbhatt,106,1716649432,1267587743
106,jzz2002,107,1716649279,534765807
107,leoyu0813,108,1716650073,1267605576
108,Java_Programmer_Ketan,109,1716650082,1267605830
109,summerdaway,110,1716650082,534769446
112,omipus,111,1716650107,534769568
113,mridho2828,112,1716650420,1267615060
111,tanakat01,113,1716650128,1267607134
115,VarunR,114,1716650131,1267607223
110,indreshrsingh,115,1716649845,1267599291
116,Harsh1610,116,1716650172,1267608336
117,Rhacoal,117,1716649880,1267600254
114,Tutul_dhar,118,1716650513,1267617513
119,twoplusthree,119,1716650214,1267609524
121,XAXAEBATb,120,1716649922,1267601485
118,cheng-liang-yu,121,1716650523,534771369
120,jinmingli,122,1716649637,534767416
125,MerryLeopard,123,1716649953,1267602341
122,onlyblues,124,1716649957,534768839
123,wcq_txdy,125,1716650276,1267611158
129,jlallas384,126,1716649676,1267594698
124,z1bbo,127,1716649989,1267603331
126,ajingo,128,1716650314,534770476
127,WindLY2003,129,1716649715,1267595824
128,charming-varahamihira3mb,130,1716650631,534771796
130,sigma-yyf,131,1716650245,534770161
131,yatin_kwatra,132,1716649743,1267596601
