fileId,username,rank,submit_ts
0,ethanrao,0,1717857621.0
1,kaq,1,1717857734.0
3,KR_HayoungSong,2,1717858196.0
2,txingml,3,1717858194.0
9,kmjp,4,1717858170.0
6,XAXAEBATb,5,1717858272.0
8,shadow923,6,1717858312.0
5,lihaicoder,7,1717858393.0
4,vonrong,8,1717858438.0
7,Andrew-Angrew,9,1717858535.0
10,kumarapoorv617,10,1717858239.0
13,zanj0,11,1717858183.0
12,mhasan01,12,1717858569.0
11,prajwal_733,13,1717858612.0
17,nafnil,14,1717858701.0
15,medmdg,15,1717858720.0
14,chuan-chih,16,1717858727.0
16,Kude,17,1717858146.0
20,stupidRR,18,1717858760.0
22,profchi,19,1717858779.0
18,sky1429,20,1717858741.0
19,cchao,21,1717858835.0
21,VILLANOVA_ECON,22,1717858542.0
23,AshutoshSingh10,23,1717858571.0
27,yatin_kwatra,24,1717858594.0
24,wjli,25,1717858985.0
26,martin0327,26,1717859017.0
28,vassu118,27,1717858425.0
25,JorisPerrenet,28,1717858737.0
29,Ammar1510,29,1717858774.0
32,SamyakSinghania,30,1717858510.0
31,pasricha_dhruv,31,1717858237.0
34,lotusblume,32,1717859119.0
30,CoderAbhi27,33,1717859129.0
35,quocdatmc,34,1717859169.0
38,Rhacoal,35,1717858828.0
33,skyinde2,36,1717858931.0
37,bashem,37,1717859236.0
36,optimusPrime329,38,1717858934.0
40,hank55663,39,1717857778.0
41,taran_1407,40,1717859283.0
39,gonglinyuan,41,1717859284.0
42,Maanas23,42,1717858695.0
44,n124345679976,43,1717858636.0
46,kzyKT,44,1717859033.0
43,didwhddks,45,1717859335.0
49,yzkkai,46,1717858868.0
48,dd2307,47,1717859300.0
50,sksusha8853,48,1717859376.0
45,Tinky1224,49,1717858729.0
47,menborong,50,1717859472.0
51,anand1239,51,1717859143.0
53,chromate00,52,1717859177.0
56,zsq007,53,1717858994.0
54,Arch_of_Triumph,54,1717858586.0
52,Manan04,55,1717859150.0
57,Sai-17,56,1717859541.0
58,ashwanthkannan,57,1717858288.0
55,mkawa222,58,1717859231.0
60,anuragdw0710,59,1717859597.0
