filename,created_at,subm_ts,subm_id
submissions/1____Heltion.cpp,2024-08-03 10:48:43 -0400,1722696523,552261414
submissions/2____hank55663.cpp,2024-08-03 10:48:49 -0400,1722696529,1343111489
submissions/3____Yawn_Sean.py,2024-08-03 10:50:14 -0400,1722696614,552261897
submissions/4____heal.cpp,2024-08-03 10:50:30 -0400,1722696630,552261980
submissions/5____ianwong1999.cpp,2024-08-03 10:51:14 -0400,1722696674,1343117596
submissions/6____cjycleaner.cpp,2024-08-03 10:47:28 -0400,1722696448,552260996
submissions/7____kmjp.cpp,2024-08-03 10:49:17 -0400,1722696557,1343112688
submissions/8____PyIsTheBestLang.py,2024-08-03 10:47:13 -0400,1722696433,552260913
submissions/9____w285714.cpp,2024-08-03 10:55:07 -0400,1722696907,552263463
submissions/10____stupidRR.cpp,2024-08-03 10:55:22 -0400,1722696922,1343127424
submissions/11____tsreaper.cpp,2024-08-03 10:55:35 -0400,1722696935,552263606
submissions/12____lddlinan.py,2024-08-03 10:50:56 -0400,1722696656,552262116
submissions/13____jonathanirvings.cpp,2024-08-03 10:57:04 -0400,1722697024,1343131339
submissions/14____rgb234rgb.java,2024-08-03 10:57:05 -0400,1722697025,552264076
submissions/15____paigulong.cpp,2024-08-03 10:39:27 -0400,1722695967,552258037
submissions/16____rvrty5.py,2024-08-03 10:47:55 -0400,1722696475,1343109197
submissions/17____Manan04.py,2024-08-03 10:59:01 -0400,1722697141,1343135661
submissions/18____huah-f.cpp,2024-08-03 10:59:58 -0400,1722697198,552264907
submissions/19____ethanrao.cpp,2024-08-03 10:46:28 -0400,1722696388,1343105359
submissions/20____milesian-c.cpp,2024-08-03 11:00:12 -0400,1722697212,552264977
submissions/21____BaoJiaoPisu.cpp,2024-08-03 10:57:39 -0400,1722697059,1343132635
submissions/22____darrenhp.cpp,2024-08-03 11:06:03 -0400,1722697563,552266722
submissions/23____gooday-3.cpp,2024-08-03 11:06:08 -0400,1722697568,552266745
submissions/24____gxylengli.cpp,2024-08-03 11:06:21 -0400,1722697581,552266821
submissions/25_____Fake4Fun.cpp,2024-08-03 11:01:27 -0400,1722697287,1343141066
submissions/26____ernestlu.cpp,2024-08-03 10:49:04 -0400,1722696544,1343112137
submissions/27____nguyenquocthao00.py,2024-08-03 11:07:17 -0400,1722697637,1343153510
submissions/28____876pol.cpp,2024-08-03 11:07:26 -0400,1722697646,1343153871
submissions/29____mikeac.py,2024-08-03 11:07:44 -0400,1722697664,552267228
submissions/30____hhhyh.cpp,2024-08-03 10:57:46 -0400,1722697066,552264284
submissions/31____brenner1.cpp,2024-08-03 11:02:47 -0400,1722697367,1343144004
submissions/32____elioyyds.cpp,2024-08-03 11:02:58 -0400,1722697378,552265816
submissions/33____mhasan01.cpp,2024-08-03 10:59:57 -0400,1722697197,1343137757
submissions/34____fsj-o.cpp,2024-08-03 11:05:41 -0400,1722697541,552266600
submissions/35____fan-fan-fan-a9.cpp,2024-08-03 11:03:37 -0400,1722697417,552266018
submissions/36____nhho.cpp,2024-08-03 11:03:56 -0400,1722697436,1343146528
submissions/37____fried-chicken.cpp,2024-08-03 11:09:15 -0400,1722697755,552267644
submissions/38____Sloth_junkie.cpp,2024-08-03 11:04:17 -0400,1722697457,1343147225
submissions/39____shhk.cpp,2024-08-03 11:04:34 -0400,1722697474,552266307
submissions/40____Ujimatsu_Chiya.cpp,2024-08-03 11:09:35 -0400,1722697775,552267736
submissions/41____hxu10.py,2024-08-03 11:10:05 -0400,1722697805,1343159551
submissions/42____Turkhuu.cpp,2024-08-03 11:05:09 -0400,1722697509,1343149101
submissions/43____MeetBrahmbhatt.cpp,2024-08-03 11:09:49 -0400,1722697789,1343159007
submissions/44____lucifer1006.cpp,2024-08-03 11:10:24 -0400,1722697824,552267987
submissions/45____VIBE09.cpp,2024-08-03 11:10:35 -0400,1722697835,1343160611
