groupId,fileId,username,rank
0,393,upperknoot,391
0,958,parasguglani,957
0,134,Ashish_NSUT,136
0,744,akash_1513,745
0,2,numb3r5,2
0,1162,AbhiCodes_1029,1163
0,540,stupidRR,541
0,338,Ashwini_Tiwari,336
0,930,Ashutosh_V,929
0,378,lakh,381
0,100,Akatsuki_,97
0,871,baibhavkr143,874
0,884,SamChen856,884
0,714,adityachauhan2501,713
0,339,mohit__009,340
0,1062,sujal_prakash15,1062
0,531,eether,535
0,1080,nirajk24,1079
0,773,Puneet7373,774
1,8,sheepforever,9
1,318,anupam_ghosh,321
1,3,penguinhacker,1
1,299,HackedAgain,300
1,254,louisfghbvc,254
1,717,forasssk,718
1,921,nirav114,922
1,59,newhar,57
1,176,Sambhav-Jain,177
1,760,divyansh956,760
1,153,ashif62224,154
1,800,gsaivishal,800
1,49,nolv-v,53
1,593,tr1nity,595
1,139,meet05,138
1,18,OTTFF,15
2,484,larisyang,483
2,738,agitated-albattanil1g,738
2,380,leetcoder_bro,382
2,525,jk_s,527
2,154,pankaj_777,156
2,470,xiao-lan-td,469
2,449,anurag78_20,451
2,579,xyzabcdef,581
2,10,tiger2005,7
2,410,relaxed-lamportyiz,411
2,1017,ajai_cr7,1012
3,70,Oshen,71
3,979,RockyCYG,981
3,496,zhangsz1998,500
3,1084,chgliu,1087
3,152,u77,153
3,200,Qlyer,204
3,97,kizk,98
3,819,zen-i2osalind,823
4,214,rudrakshjadhav,213
4,1134,tyagikumkum1200121,1136
4,77,kruztw,77
4,902,harshitchauhan3,902
4,1059,atharva_saraf,1061
5,160,el_magnito,159
5,396,bbhavik_16,399
5,158,JeffreyLC,162
5,114,defier,115
5,454,bhavik_11,457
6,654,pepe54,655
6,703,gaurav_ghidode,704
6,360,raghu30,361
6,1027,anubhav_gupta17,1027
7,655,prem__,656
7,919,AdityaGarg83,921
7,1071,Pulkit95700,1071
8,1121,ciphercraft,1119
8,1218,P_Manav,1219
8,1126,coder1417,1124
9,194,abhishekvanjani,194
9,1083,asyncoder,1083
10,1079,k_op_18,1081
10,1157,Krishna_xo18,1156
11,486,9caiji,487
11,1068,IwOhRFUC85,1069
12,963,Invincible1212,961
12,1057,KomalPal,1059
13,917,qweraasdf,914
13,1099,silenceneoneo,1097
14,816,Ankit3020,815
14,952,tushargupta_1206,954
15,908,saurabh600,910
15,947,dhruv_gupta123,948
16,991,amitkumar2003,989
16,1095,rishabhraj5421,1099
17,1129,ekalavya_pc,1130
17,1137,lalit2001,1137
18,408,VIVEK_887,413
18,631,saikaushik333,636
19,308,rohitsatpute480,309
19,417,satputerohit00,419
20,678,batman992,678
20,747,aniketrajput25,748
21,229,RealFan,230
21,955,pranjal_trvd,955
22,911,pg_2,916
22,978,harshgkb,982
23,128,aman_2005,128
23,135,SSYernar,134
24,22,some_idiot,22
24,290,jackieckc,290
25,143,gulshan2052,144
25,641,Satyam__thakur,644
26,377,__sebasti0n__,376
26,1103,nguyenducloc,1104
