groupId,fileId,username,rank,subm_ts
0,387,guardian01,387,1717298278.0
0,477,Krishanu_7,476,1717298607.0
0,539,prakhar__py,537,1717299082.0
0,250,itsjk_s,250,1717298320.0
0,319,anubhavanu2004,320,1717298646.0
0,665,user3491Nu,663,1717299515.0
0,804,9560kiran,806,1717298770.0
0,1046,SimpleSheep03,1046,1717299484.0
0,789,akash1906,788,1717299650.0
0,839,sasti_monjulika_oo,839,1717300118.0
0,380,amangupta2152,380,1717296973.0
0,394,pandey__amit,393,1717298608.0
0,730,rits_rj,730,1717300065.0
0,776,Saber2k18,777,1717299919.0
0,1083,shivamSha_123,1086,1717300471.0
0,433,ProveMeRight,433,1717298741.0
0,631,astromaster,630,1717299117.0
0,567,faangPro,567,1717299458.0
0,57,yolo12345,55,1717297191.0
0,759,bitwizz21,761,1717296080.0
0,68,LEetcode_ruler,68,1717297288.0
0,108,huangshan01,109,1717297285.0
0,131,spaul_12,130,1717297734.0
0,206,ShyamSunder_11,207,1717298123.0
0,216,Tyrande,218,1717297562.0
0,227,virajchandra51,227,1717296587.0
0,263,Gaming_123,265,1717298100.0
0,291,__akshansh7,290,1717297904.0
0,578,ansh_iet_22,573,1717298879.0
0,606,DivyanshJain2003,607,1717299003.0
0,636,HeroKillerEver,636,1717299738.0
0,680,aryaman_ranjit,679,1717299289.0
0,728,duyvt6663,727,1717299457.0
0,880,m1stborn,880,1717299300.0
0,928,SainiAyush,929,1717299732.0
0,944,Fremder,945,1717299793.0
0,947,cpaliwal2483,947,1717299505.0
0,975,Snape007,977,1717299878.0
0,1066,Vaga-bond,1065,1717300114.0
0,1203,3crasele,1203,1717300333.0
0,546,venkatasai24,544,1717299401.0
0,927,Balakrishna_Prasad,927,1717297011.0
0,724,_h_raj43,722,1717300047.0
0,994,Alex_8468,995,1717299382.0
0,559,amangaya21,558,1717299144.0
0,557,Pikachu_007,559,1717298845.0
0,754,Ritu8299,755,1717299862.0
0,182,sukunamodeon,181,1717297702.0
0,358,bdyby011121,358,1717298769.0
0,469,georgopol101,471,1717298884.0
0,1010,sumitj3na,1012,1717300003.0
0,1136,zel9992,1135,1717300650.0
0,209,aryansingh027,209,1717298125.0
0,338,tushars_071,336,1717298700.0
0,530,yashkumar9158,529,1717299059.0
0,432,mohitmndr,429,1717299029.0
0,605,Pankajkumar21,605,1717297521.0
0,608,SaHiL7264,608,1717299303.0
0,148,sohamslc5,144,1717297501.0
0,651,abhisheksoni125,652,1717298994.0
0,353,cheemsRastogi,354,1717298454.0
0,519,mailtoramchhabra,518,1717298404.0
0,596,yash23kr,596,1717298956.0
0,704,XxFALCONxX,703,1717298487.0
0,1213,sukanil_1357,1212,1717298867.0
0,595,CheriBhai,595,1717298656.0
0,970,robertlewan1998,972,1717299863.0
0,1211,bug_byte,1208,1717299463.0
0,28,ritik_369,30,1717296121.0
0,1039,capsicle,1039,1717300072.0
0,202,himanshuyadavroxx,203,1717297814.0
0,508,ppv_07122004,508,1717298680.0
0,243,shreeya1803singhal,246,1717298297.0
0,1092,U_N_K_N_O_W_N_0,1090,1717300481.0
0,381,yeshsingh,382,1717298865.0
0,321,flyingPenguin04,322,1717298651.0
0,991,ipadcoder,988,1717298675.0
0,1197,ameynaik09,1197,1717299802.0
0,1045,10_Adi,1045,1717299480.0
0,210,Apple_juice,210,1717298128.0
0,399,stay_humble,396,1717298309.0
0,699,rajanand18,700,1717299076.0
0,766,_shivaay_,766,1717299297.0
0,834,swastik8750,837,1717299515.0
0,847,princeyadav3100,845,1717300128.0
0,900,DGukesh,899,1717298919.0
0,936,anamika9693,937,1717300196.0
0,1041,ayushkumarsingh3105,1041,1717299478.0
0,1112,MoHiT_SoNi_,1111,1717300234.0
0,1130,Archangel79,1130,1717300637.0
0,808,PiyushTiwari1234,808,1717299997.0
0,1117,Trisha2512,1117,1717300279.0
0,208,harshit_08,208,1717297823.0
