groupId,fileId,username,rank
0,717,forasssk,718
0,921,nirav114,922
0,49,nolv-v,53
0,593,tr1nity,595
1,1079,k_op_18,1081
1,1157,Krishna_xo18,1156
2,816,Ankit3020,815
2,952,tushargupta_1206,954
3,991,amitkumar2003,989
3,1095,rishabhraj5421,1099
4,393,upperknoot,391
4,958,parasguglani,957
5,1121,ciphercraft,1119
5,1218,P_Manav,1219
6,308,rohitsatpute480,309
6,417,satputerohit00,419
7,911,pg_2,916
7,978,harshgkb,982
8,8,sheepforever,9
8,318,anupam_ghosh,321
9,3,penguinhacker,1
9,299,HackedAgain,300
10,380,leetcoder_bro,382
10,525,jk_s,527
11,70,Oshen,71
11,496,zhangsz1998,500
