groupId,fileId,username,rank
0,8,sheepforever,9
0,318,anupam_ghosh,321
0,3,penguinhacker,1
0,299,HackedAgain,300
0,717,forasssk,718
0,921,nirav114,922
0,59,newhar,57
0,176,Sambhav-Jain,177
0,760,divyansh956,760
0,49,nolv-v,53
0,593,tr1nity,595
1,393,upperknoot,391
1,958,parasguglani,957
1,2,numb3r5,2
1,1162,AbhiCodes_1029,1163
1,540,stupidRR,541
2,484,larisyang,483
2,738,agitated-albattanil1g,738
2,154,pankaj_777,156
2,470,xiao-lan-td,469
3,70,Oshen,71
3,979,RockyCYG,981
3,496,zhangsz1998,500
3,1084,chgliu,1087
4,1121,ciphercraft,1119
4,1218,P_Manav,1219
4,1126,coder1417,1124
5,1079,k_op_18,1081
5,1157,Krishna_xo18,1156
6,816,Ankit3020,815
6,952,tushargupta_1206,954
7,991,amitkumar2003,989
7,1095,rishabhraj5421,1099
8,654,pepe54,655
8,703,gaurav_ghidode,704
9,308,rohitsatpute480,309
9,417,satputerohit00,419
10,229,RealFan,230
10,955,pranjal_trvd,955
11,911,pg_2,916
11,978,harshgkb,982
12,380,leetcoder_bro,382
12,525,jk_s,527
